"","coordinate","spot","lat","lon","key","A","S","W"
"1","51.874833 N, 104.829083 E","Shaman-kamen'",51.874833,104.829083,"COI",0,1,6
"2","51.892111 N, 104.822944 E","Nikola",51.892111,104.822944,"COI",0,7,3
"3","52.105000 N, 104.549000 E","Korolok",52.105,104.549,"COI",5,0,0
"4","52.233611 N, 104.319111 E","Yakobi",52.233611,104.319111,"COI",6,5,0
"5","52.243417 N, 104.307778 E","Teplye ozera",52.243417,104.307778,"COI",1,10,0
"6","52.244361 N, 104.350917 E","Solnechnyj",52.244361,104.350917,"COI",7,2,0
"7","52.251139 N, 104.320639 E","Verhnyaya naberezhnaya",52.251139,104.320639,"COI",10,0,0
"8","52.254417 N, 104.278528 E","Akademicheskij bridge",52.254417,104.278528,"COI",0,10,0
"9","52.262111 N, 104.282389 E","Akademicheskij bridge",52.262111,104.282389,"COI",0,10,0
"10","52.282444 N, 104.261889 E","Between the bridges",52.282444,104.261889,"COI",4,5,0
"11","52.282861 N, 104.270611 E","Between the bridges",52.282861,104.270611,"COI",0,1,0
"12","52.288556 N, 104.266944 E","Glazkovskij bridge",52.288556,104.266944,"COI",1,9,0
"13","52.288889 N, 104.262611 E","Glazkovskij bridge",52.288889,104.262611,"COI",0,10,0
"14","56.163250 N, 101.697806 E","Krylatyj tupik",56.16325,101.697806,"COI",8,0,0
"15","56.251028 N, 101.818722 E","Zyaba",56.251028,101.818722,"COI",7,0,0
"16","56.286472 N, 101.727417 E","Padun",56.286472,101.727417,"COI",6,1,0
